season,round,session_type,driver_id,team,best_lap_s,mean_lap_s,lap_consistency,mean_s1,mean_s2,mean_s3,mean_throttle,mean_brake,max_speed,lap_count
2018,1,FP2,HAR,Toro Rosso,89.266,93.93305555555554,13.81951962846169,30.19111111111112,24.32711111111111,39.39644444444444,67.01707192258228,0.1433278236586333,309.0,18
2018,1,FP2,OCO,Force India,85.888,95.04514285714284,14.703870102052113,30.69221428571429,24.64664285714285,39.70499999999999,65.72811789072587,0.231632834390164,316.0,14
2018,1,FP2,VER,Red Bull Racing,88.261,89.42178947368421,1.3969765598505692,29.54161111111112,24.075315789473688,35.81421052631578,68.76449611087304,0.1397607445477383,315.0,19
2018,1,FP2,SIR,Williams,89.939,95.25646666666668,15.121916974410098,30.324466666666662,24.81233333333333,40.1088,67.49973403163882,0.1846390917929167,303.0,15
2018,1,FP2,HAM,Mercedes,87.602,88.76026666666668,0.9113426881465034,29.6144375,24.243625,39.3815625,67.06910025093336,0.1381513586789002,313.0,16
2018,1,FP2,SAI,Renault,89.041,93.974,12.176430321526915,30.4504375,24.821352941176475,38.70817647058824,66.56365119184284,0.1772372592936595,315.0,17
2018,1,FP2,BOT,Mercedes,87.896,90.02158823529412,3.030136178021203,29.81435294117647,24.4995,39.19988888888889,66.76670325762296,0.1511386851909422,301.0,18
2018,1,FP3,GRO,Haas F1 Team,96.171,101.694,6.896639689007976,33.25233333333333,27.44,41.001666666666665,48.45941282233247,0.2118214031653365,306.0,3
2018,1,FP3,ERI,Sauber,88.89,103.09466666666668,18.6270122492399,33.432,27.08533333333333,42.577333333333335,59.03463581842079,0.1948353814260749,311.0,3
2018,1,FP3,STR,Williams,95.828,105.6135,11.448233151888546,35.82633333333333,27.303,42.48416666666667,55.66867119236675,0.2095713121726183,295.0,6
2018,1,FP3,MAG,Haas F1 Team,96.807,99.73675,4.245100106789788,31.953750000000003,26.2905,41.49249999999999,55.42012339462062,0.2015018840525261,306.0,4
2018,1,FP3,SIR,Williams,95.589,108.5734,17.362219927186725,36.4106,28.9114,43.2514,56.64746594355596,0.2116359037096195,297.0,5
2018,1,FP3,SAI,Renault,93.172,109.906,23.768213815934928,34.623666666666665,29.09566666666667,46.18666666666667,53.14555478996943,0.1954502411261328,297.0,3
2018,2,FP2,VAN,McLaren,91.422,97.14395,7.036018502376857,31.00355,41.92885,24.211550000000003,67.1473749140729,0.1741154755011748,323.0,20
2018,2,FP2,RIC,Red Bull Racing,90.751,96.10731578947367,4.699517942804011,30.401421052631576,41.82152631578947,23.884368421052635,65.00340109021305,0.1791449467231356,314.0,19
2018,2,FP2,VET,Ferrari,89.828,98.38966666666666,9.36581783455908,31.0615,42.86995833333333,24.45820833333333,65.02086029788893,0.1833072163608543,324.0,24
2018,2,FP2,RAI,Ferrari,89.817,94.6872,2.246289645488439,30.123866666666668,41.01593333333334,23.5474,69.0852575842471,0.1845187293885892,322.0,15
2018,2,FP2,GRO,Haas F1 Team,91.591,98.0725625,5.41309866858469,31.241625,42.3563125,24.474625000000003,62.439135585638425,0.1826928410776048,318.0,16
2018,2,FP2,ERI,Sauber,92.733,100.2582,7.92785557120554,31.6,43.7705,24.8877,65.79339106554237,0.1848196402947387,319.0,20
2018,2,FP2,GAS,Toro Rosso,91.232,97.00408695652176,5.335239774053304,30.907565217391305,42.19308695652173,23.90343478260869,69.25759604605055,0.1760121628086972,328.0,23
2018,2,FP2,PER,Force India,91.868,98.6194761904762,7.185099815723145,31.2604761904762,42.757095238095246,24.601904761904763,64.48940158473349,0.2118823234295132,326.0,21
2018,2,FP2,ALO,McLaren,91.282,97.0089375,4.792295795945127,30.8389375,42.2185,23.951500000000003,67.08347115225553,0.1900973380665121,327.0,16
2018,2,FP2,LEC,Sauber,96.022,98.70247368421052,3.051869543018235,31.310157894736843,43.07136842105263,24.32094736842105,67.60141200741708,0.188529980421696,325.0,19
2018,2,FP2,STR,Williams,92.382,99.2356,7.862093912292977,31.180333333333337,42.82246666666666,25.2328,65.75473252630313,0.2048553801427178,317.0,15
2018,2,FP2,MAG,Haas F1 Team,91.969,96.87376470588237,3.213894668649936,30.72758823529412,42.22994117647059,23.916235294117644,62.975077285089945,0.195612885059701,324.0,17
